group,name,namespace,qualName,description,dataType,usage,vocabulary,comments,examples,status,GitHub issue,Darwin Core,ABCD,HISPID 3,HISPID 4,HISPID 5,Audubon Core,issued,modified
PreservedSpecimen,miscellaneousRemarks,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/miscellaneousRemarks,Any additional information to be transferred pertaining to the collection object.,string,,,,,current,https://github.com/hiscom/hispid/issues/1,,//Unit/Notes,misc,misc,,,2015-07-11,2015-07-11
PreservedSpecimen,exsiccataSeries,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/exsiccataSeries,Exsiccata series,,,,,,new,https://github.com/hiscom/hispid/issues/7,,,,,,,2015-07-11,2015-07-11
PreservedSpecimen,exsiccataFascicle,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/exsiccataFascicle,Fascicle in exsiccata series,,,,,,new,https://github.com/hiscom/hispid/issues/7,,,,,,,2015-07-11,2015-07-11
PreservedSpecimen,exsiccataNumber,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/exsiccataNumber,Number in exsiccata series,,,,,,new,https://github.com/hiscom/hispid/issues/7,,,,,,,2015-07-11,2015-07-11
PreservedSpecimen,voucherFor,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/voucherFor,Term to indicate the collection object has served as a voucher for a special purpose.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/voucher_for.xml,,,current,,,"//Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""voucher""]/LowerValue",vou,vou,,,2015-07-11,2015-07-11
PreservedSpecimen,provenanceTypeFlag,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/provenanceTypeFlag,Code to indicate the type of provenance of the cultivated material from which this collection object was taken.,string,Use ITF2 codes,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/provenance_type_flag.xml,,,current,https://github.com/hiscom/hispid/issues/54,,"//Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""provenanceTypeFlag""]/LowerValue",prot,prot,//Unit/UnitExtension/hispid:HispidUnit/hispid:ProvenanceType,,2015-07-11,2015-07-11
PreservedSpecimen,cultivatedPlantProvenance,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/cultivatedPlantProvenance,Descriptive and coded information that describes the geographic position from which the source material of the cultivated plant from which the collection object was taken was collected.,string,"Preferrably this information is databased and delivered as a related resource, using all relevant elements from the relevant standard; if this is not feasible, the information can be delivered as free text, providing as much detail as possible.",,,,current,https://github.com/hiscom/hispid/issues/59,,,,,,,2015-07-11,2015-07-11
Transaction,donor,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/donor,"The person, business or institution from which the collection object was obtained.",string,,,,,under consideration,,,//Units/Unit/SpecimenUnit/Acquisition/AcquisitionSourceText,don,don,/Unit/SpecimenUnit/Acquisition/AcquiredFrom/*,,2015-07-11,2015-07-11
Transaction,duplicatesDistributedTo,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/duplicatesDistributedTo,List of institutions replicates have been sent to.,string,Use Index Herbariorum acronyms.,,,"""PERTH"", ""CANB|NSW""",under consideration,,,//Unit/SpecimenUnit/DuplicatesDistributedTo,desrep,desrep,,,2015-07-11,2015-07-11
Transaction,loanIdentifier,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/loanIdentifier,The number assigned to the loan by the lending institution.,string,,,,,current,,,//Unit/HerbariumUnit/LoanIdentifier,loaid,loaid,,,2015-07-11,2015-07-11
Transaction,loanDestination,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/loanDestination,Institution to which the loan is sent.,string,Preferrably an Index Herbriorum acronym is used.,,,,current,,,//Unit/HerbariumUnit/LoanDestination,loades,loades,,,2015-07-11,2015-07-11
